appearance_id,game_id,player_id,yellow_cards,red_cards,goals,assists,minutes_played,game_event_id,minute,description,player_in_id,player_assist_id,season,round,date,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,home_club_formation,away_club_formation,home_club_name,away_club_name,aggregate,competition_type,game_lineups_id,number,team_captain,name,last_season,current_club_id,player_code,country_of_birth,date_of_birth,sub_position,foot,height_in_cm,market_value_in_eur,highest_market_value_in_eur,contract_expiration_date,agent_name
2581959_31041,2581959,31041,0,0,0,0,78,fefb061d39fcd57eeddfd1f50a40034e,78,,32711,,2015,29. Matchday,2016-04-09 00:00:00,1,0,9,5,Ralph Hasenhuttl,andrea schubert,Audi Sportpark,15200,Tobias Welz,,,FC Ingolstadt 04,Borussia Verein fur Leibesubung 1900 e.V.,01:00:00,domestic_league,,,,Fabian Johnson,2019,18,fabian-johnson,Germany,1987-12-11 00:00:00,Left Winger,right,183,,7000000,,Robert Schneider
2578211_255916,2578211,255916,0,0,0,0,90,,,,,,2015,33. Matchday,2016-04-10 00:00:00,0,2,18,1,Sam Allardyce,Claudio Ranieri,Stadium of Light,46531,Anthony Taylor,,,Sunderland AFC,Leicester City,00:02:00,domestic_league,,,,DeAndre Yedlin,2021,141,deandre-yedlin,United States,1993-07-09 00:00:00,Right-Back,right,173,2000000,8000000,2025-12-31 00:00:00,Mega Sports
2578217_31642,2578217,31642,0,0,0,0,90,,,,,,2015,33. Matchday,2016-04-10 00:00:00,4,1,7,9,Jurgen Klopp,Mark Hughes,Anfield,43688,Mark Clattenburg,,,Liverpool Football Club,Stoke City,04:01:00,domestic_league,,,,Geoff Cameron,2017,512,geoff-cameron,United States,1985-07-11 00:00:00,Centre-Back,right,190,,5000000,,CMG Sports
2581343_140069,2581343,140069,0,0,0,0,90,,,,,,2015,24. Matchday,2016-04-10 00:00:00,0,2,12,2,Ove Pedersen,Lars Sondergaard,DS Arena,3487,Peter Kjaersgaard,,,Hobro IK,Aalborg BK,00:02:00,domestic_league,,,,Babajide Ogunbiyi,2015,5818,babajide-ogunbiyi,United States,1986-11-30 00:00:00,Centre-Back,right,193,,300000,,
2581951_315779,2581951,315779,0,0,0,0,73,b176d22104f2a712fae17ee40691c948,73,,53622,,2015,29. Matchday,2016-04-10 00:00:00,2,2,7,2,Andre Breitenreiter,Thomas Tuchel,Veltins-Arena,61670,Felix Zwayer,,,FC Schalke 04,Borussia Dortmund,02:02:00,domestic_league,,,,Christian Pulisic,2023,5,christian-pulisic,United States,1998-09-18 00:00:00,Right Winger,right,177,25000000,60000000,2027-06-30 00:00:00,
2646179_131183,2646179,131183,0,0,0,0,90,,,,,,2015,29. Matchday,2016-04-12 00:00:00,0,0,9,3,John Hughes,Robbie Neilson,Tulloch Caledonian Stadium,3202,Don Robertson,,,Inverness Caledonian Thistle FC,Heart of Midlothian Football Club,00:00:00,domestic_league,,,,Perry Kitchen,2017,5724,perry-kitchen,United States,1992-02-29 00:00:00,Defensive Midfield,right,183,,800000,,YMU Group
2581965_31041,2581965,31041,0,0,0,0,90,,,,,,2015,30. Matchday,2016-04-15 00:00:00,2,0,18,5,Daniel Stendel,andrea schubert,Heinz-von-Heiden-Arena,46196,Markus Schmidt,,,Hannover 96,Borussia Verein fur Leibesubung 1900 e.V.,02:00:00,domestic_league,,,,Fabian Johnson,2019,18,fabian-johnson,Germany,1987-12-11 00:00:00,Left Winger,right,183,,7000000,,Robert Schneider
2578232_39471,2578232,39471,0,0,0,0,90,,,,,,2015,34. Matchday,2016-04-16 00:00:00,1,0,5,20,Louis van Gaal,Eric Black,Old Trafford,75411,Kevin Friend,,,Manchester United Football Club,Aston Villa Football Club,01:00:00,domestic_league,,,,Brad Guzan,2016,641,brad-guzan,United States,1984-09-09 00:00:00,Goalkeeper,left,193,100000,5000000,2023-12-31 00:00:00,YMU Group
2578241_255916,2578241,255916,0,0,0,0,90,,,,,,2015,34. Matchday,2016-04-16 00:00:00,0,3,18,17,Alex Neil,Sam Allardyce,Carrow Road,27117,Andre Marriner,,,Norwich City,Sunderland AFC,00:03:00,domestic_league,,,,DeAndre Yedlin,2021,141,deandre-yedlin,United States,1993-07-09 00:00:00,Right-Back,right,173,2000000,8000000,2025-12-31 00:00:00,Mega Sports
2581962_49723,2581962,49723,1,0,0,0,90,,,,,,2015,30. Matchday,2016-04-16 00:00:00,3,0,3,17,Roger Schmidt,Niko Kovac,BayArena,30210,Deniz Aytekin,,,Bayer 04 Leverkusen,eintracht frankfurt Football ag,03:00:00,domestic_league,,,,Timothy Chandler,2023,24,timothy-chandler,Germany,1990-03-29 00:00:00,Right-Back,right,186,700000,5000000,2025-06-30 00:00:00,
2581966_124732,2581966,124732,0,0,0,0,90,,,,,,2015,30. Matchday,2016-04-16 00:00:00,2,1,13,4,Julian Nagelsmann,Pa Dardai,PreZero Arena,27745,Guido Winkmann,,,TSG 1899 Hoffenheim Football-Spielbetriebs GmbH,Hertha BSC,02:01:00,domestic_league,,,,John Anthony Brooks,2023,533,john-anthony-brooks,Germany,1993-01-28 00:00:00,Centre-Back,left,194,2000000,15000000,2024-06-30 00:00:00,ROGON
2609801_355369,2609801,355369,0,0,0,0,14,,,,,,2015,34. Matchday,2016-04-16 00:00:00,2,1,20,17,Mohamed Bradja,Olivier Gevaert,Stade de l'Aube,12650,Tony Chapron,,,ESTAC Troyes,Stade de Reims,02:01:00,domestic_league,,,,Jordan,2023,18,jordan,United States,1996-04-26 00:00:00,Centre-Forward,right,191,7000000,10000000,2024-06-30 00:00:00,Gestifute
2581961_315779,2581961,315779,0,0,1,0,90,e13b467c1ea6ebaaf5088ad6a37ca3c3,38,", Right-footed shot, 1. Goal of the Season",,,2015,30. Matchday,2016-04-17 00:00:00,3,0,2,12,Thomas Tuchel,Bruno Labbadia,SIGNAL IDUNA PARK,81359,Marco Fritz,,,Borussia Dortmund,Hamburger SV,03:00:00,domestic_league,,,,Christian Pulisic,2023,5,christian-pulisic,United States,1998-09-18 00:00:00,Right Winger,right,177,25000000,60000000,2027-06-30 00:00:00,
2609804_111783,2609804,111783,0,0,0,0,90,,,,,,2015,34. Matchday,2016-04-17 00:00:00,0,2,10,16,Michel Der Zakarian,Frederic Hantz,Stade de la Beaujoire,21789,Stephane Jochem,,,Football Club de Nantes,Montpellier Herault Sport Club,00:02:00,domestic_league,,,,Alejandro Bedoya,2015,995,alejandro-bedoya,United States,1987-04-29 00:00:00,Central Midfield,right,182,300000,2500000,2023-12-31 00:00:00,YMU Group
2578258_31642,2578258,31642,0,0,0,0,90,,,,,,2015,34. Matchday,2016-04-18 00:00:00,0,4,9,2,Mark Hughes,Mauricio Pochettino,bet365 Stadium,27442,Neil Swarbrick,,,Stoke City,Tottenham Hotspur Football Club,00:04:00,domestic_league,,,,Geoff Cameron,2017,512,geoff-cameron,United States,1985-07-11 00:00:00,Centre-Back,right,190,,5000000,,CMG Sports
2664150_124732,2664150,124732,0,0,0,0,90,,,,,,2015,Semi-Finals,2016-04-20 00:00:00,0,3,,,Pal Dardai,Thomas Tuchel,Olympiastadion Berlin,76233,Deniz Aytekin,,,Hertha BSC,Borussia Dortmund,00:03:00,domestic_cup,,,,John Anthony Brooks,2023,533,john-anthony-brooks,Germany,1993-01-28 00:00:00,Centre-Back,left,194,2000000,15000000,2024-06-30 00:00:00,ROGON
2578231_31642,2578231,31642,0,0,0,0,90,,,,,,2015,35. Matchday,2016-04-23 00:00:00,4,0,3,10,Manuel Pellegrini,Mark Hughes,Etihad Stadium,53974,Bobby Madley,,,Manchester City Football Club,Stoke City,04:00:00,domestic_league,,,,Geoff Cameron,2017,512,geoff-cameron,United States,1985-07-11 00:00:00,Centre-Back,right,190,,5000000,,CMG Sports
2578278_39471,2578278,39471,0,0,0,0,90,,,,,,2015,35. Matchday,2016-04-23 00:00:00,2,4,20,8,Eric Black,Ronald Koeman,Villa Park,29729,Neil Swarbrick,,,Aston Villa Football Club,Southampton FC,02:04:00,domestic_league,,,,Brad Guzan,2016,641,brad-guzan,United States,1984-09-09 00:00:00,Goalkeeper,left,193,100000,5000000,2023-12-31 00:00:00,YMU Group
2581356_140069,2581356,140069,0,0,0,0,82,0150610ef4ee0145f308fd554a79f565,82,,110271,,2015,26. Matchday,2016-04-23 00:00:00,2,2,12,10,Ove Pedersen,Jonas Dal,DS Arena,1570,Benjamin Helm Svedborg,,,Hobro IK,Esbjerg fB,02:02:00,domestic_league,,,,Babajide Ogunbiyi,2015,5818,babajide-ogunbiyi,United States,1986-11-30 00:00:00,Centre-Back,right,193,,300000,,
2581973_315779,2581973,315779,1,0,1,0,76,f763e3eb80ec545bb95e3fc4064da3bd,45,", Tap-in, 2. Goal of the Season",,,2015,31. Matchday,2016-04-23 00:00:00,0,3,15,2,Jurgen Kramny,Thomas Tuchel,Mercedes-Benz Arena,60449,Daniel Siebert,,,Verein  Bewegungsspiele Stuttgart 1893,Borussia Dortmund,00:03:00,domestic_league,,,,Christian Pulisic,2023,5,christian-pulisic,United States,1998-09-18 00:00:00,Right Winger,right,177,25000000,60000000,2027-06-30 00:00:00,
